datetime,consumption_kwh
2025-01-01 00:00:00,0.20
2025-01-01 01:00:00,0.15
2025-01-01 02:00:00,0.10
2025-01-01 03:00:00,0.10
2025-01-01 04:00:00,0.10
2025-01-01 05:00:00,0.13
2025-01-01 06:00:00,0.20
2025-01-01 07:00:00,0.23
2025-01-01 08:00:00,0.25
2025-01-01 09:00:00,0.24
2025-01-01 10:00:00,0.25
2025-01-01 11:00:00,0.27
2025-01-01 12:00:00,0.30
2025-01-01 13:00:00,0.35
2025-01-01 14:00:00,0.40
2025-01-01 15:00:00,0.30
2025-01-01 16:00:00,0.30
2025-01-01 17:00:00,0.28
2025-01-01 18:00:00,0.25
2025-01-01 19:00:00,0.25
2025-01-01 20:00:00,0.30
2025-01-01 21:00:00,0.23
2025-01-01 22:00:00,0.20
2025-01-01 23:00:00,0.20
