solar_peak_power_kw,battery_capacity_kwh,investment_cost_eur,base_net_cost_eur,scenario_net_cost_eur,annual_savings_eur,payback_years,self_sufficiency,grid_import_kwh,solar_surplus_kwh,annual_grid_import_kwh
0.5,0.0,1250.0,1354.0010156371004,1231.0314213054337,155.30761913861022,8.048542672490457,0.09156295081472687,6371.443157999999,24.33469816666667,8046.978382941176
0.5,0.5,1500.0,1354.0010156371004,1230.3394450356745,156.18156840664514,9.604206279287043,0.09246798768675224,6365.095562433333,17.281814203703703,8038.961523488465
0.5,1.0,1750.0,1354.0010156371004,1229.8505561467855,156.79902323171262,11.160783810584748,0.09303830560478599,6361.095562433333,12.837369759259259,8033.909620374278
0.5,2.0,2250.0,1354.0010156371004,1229.2667110873965,157.53640540014504,14.282412971687169,0.09384682693155866,6355.424891383333,6.536624148148149,8026.7477001900215
0.5,3.0,2750.0,1354.0010156371004,1229.0004023642487,157.8727468670965,17.419092620938926,0.09434912234950321,6351.901976166667,2.622273907407406,8022.298343601499
0.5,5.0,3750.0,1354.0010156371004,1228.823396185267,158.0963013838034,23.71971998823863,0.09468561655346519,6349.54192965,0.0,8019.317662014707
1.0,0.0,1700.0,1354.0010156371004,1115.4235731487672,301.31753117038625,5.641888785550615,0.17532074734781544,5783.996795999999,103.41187616666666,7305.0478565397925
1.0,0.5,1950.0,1354.0010156371004,1111.9426742478227,305.7138221698491,6.378514344427041,0.18014283829168054,5750.176424650001,65.83368577777779,7262.333546703288
1.0,1.0,2200.0,1354.0010156371004,1110.048424849934,308.1062132779091,7.14039478981756,0.18231237131684674,5734.9601184,48.92667883333334,7243.115720470589
1.0,2.0,2700.0,1354.0010156371004,1108.3550454749338,310.24491041242493,8.70280191352937,0.18436543803753325,5720.56066395,32.927285000000005,7224.929558275951
1.0,3.0,3200.0,1354.0010156371004,1107.9734454306003,310.72686202551046,10.298433740618416,0.18496275746491408,5716.3712853,28.272419833333338,7219.63847451384
1.0,5.0,4200.0,1354.0010156371004,1107.356154467267,311.5064855605162,13.482865348509954,0.18581823434196476,5710.3712853,21.605753166666666,7212.06061984256
1.5,0.0,2150.0,1354.0010156371004,1010.577830663767,433.7351644126875,4.956941876989093,0.2466453026346085,5283.752612666666,269.69123283333334,6673.251569630911
1.5,0.5,2400.0,1354.0010156371004,1002.8616760963226,443.48048073489235,5.411737617003922,0.2570591815067441,5210.713498566667,188.5366616111111,6581.004937636102
1.5,1.0,2650.0,1354.0010156371004,997.5956238932116,450.1313771159841,5.887170134592021,0.2629652938891711,5169.290199766666,142.51077405555557,6528.6883145841975
1.5,2.0,3150.0,1354.0010156371004,991.549626493193,457.76732538936403,6.881225079401852,0.2694757203393209,5123.628464483334,91.77551262962963,6471.018648914937
1.5,3.0,3650.0,1354.0010156371004,988.7126726383042,461.3503293929433,7.91155823992315,0.27286162693529925,5099.880961633333,65.38939835185185,6441.026128014417
1.5,5.0,4650.0,1354.0010156371004,987.6110190115818,462.7416912398418,10.048802794364766,0.27488540205642586,5085.686947683333,49.61827174074074,6423.099432195212
2.0,0.0,2600.0,1354.0010156371004,917.225414628767,551.6370047337083,4.713244357591815,0.3045534128942169,4877.6064375,530.0685976666666,6160.298787846021
2.0,0.5,2850.0,1354.0010156371004,905.5310801321745,566.406665949128,5.031720442809855,0.32010019735186424,4768.567012533333,408.913681037037,6022.584635206458
2.0,1.0,3100.0,1354.0010156371004,896.7410683176374,577.5082379640277,5.3678887957146255,0.3303365937251517,4696.772695366666,329.1422175185185,5931.910151587658
2.0,2.0,3600.0,1354.0010156371004,883.3900940446189,594.3701950908504,6.056831297622073,0.3446660384102622,4596.271243583333,217.4739377592593,5804.979252276527
2.0,3.0,4100.0,1354.0010156371004,876.161192317119,603.5001228781772,6.793702013591185,0.352769923793948,4539.433573733333,154.32097125925927,5733.194651946944
2.0,5.0,5100.0,1354.0010156371004,871.7761451601375,609.03833122523,8.373857175360538,0.3605802761004231,4484.654636866667,93.45548585185185,5664.010181509804
3.0,0.0,3500.0,1354.0010156371004,772.2016443904336,734.798513858247,4.763210504635287,0.3734502335445564,4394.3894915,1379.8987316666667,5550.007489264706
3.0,0.5,3750.0,1354.0010156371004,756.6565166988781,754.4316336070973,4.970629322726642,0.3939804693486908,4250.3979727,1219.9081552222221,5368.149688704152
3.0,1.0,4000.0,1354.0010156371004,742.1381881923967,772.7679308557678,5.176198235310278,0.4118271257914069,4125.228091983334,1080.8305099814816,5210.063161155422
3.0,2.0,4500.0,1354.0010156371004,713.7397781845264,808.6344348449464,5.564937388379786,0.4439657439455992,3899.8196512666664,830.3766869629629,4925.377760250288
3.0,3.0,5000.0,1354.0010156371004,690.3577418661561,838.1653803681477,5.965409830937957,0.4695193303571653,3720.5961999,631.2395187777778,4699.022882226644
3.0,5.0,6000.0,1354.0010156371004,668.8219082598966,865.3646165836656,6.933493564466655,0.4995953570964752,3509.6540163333334,396.85931481481475,4432.60801370819
