solar_peak_power_kw,battery_capacity_kwh,investment_cost_eur,base_net_cost_eur,scenario_net_cost_eur,annual_savings_eur,payback_years,self_sufficiency,grid_import_kwh,solar_surplus_kwh,annual_grid_import_kwh
0.5,0.0,1250.0,7089.22971063927,6490.210821772603,151.62405994197886,8.244074195601481,0.08410340868174038,34148.05743,147.44399500000003,8643.579030478502
0.5,0.5,1500.0,7089.22971063927,6481.306468987788,153.8779356468729,9.747986244384498,0.08624417399076723,34068.24167633333,58.759824259259275,8623.376013773694
0.5,1.0,1750.0,7089.22971063927,6479.234986517047,154.40227066893985,11.334030208352607,0.08667854204205994,34052.046807499995,40.765525555555556,8619.276757792995
0.5,2.0,2250.0,7089.22971063927,6478.359430961491,154.62389187405637,14.551438155706629,0.08686629140825364,34045.046807499995,32.98774777777778,8617.5049131328
0.5,3.0,2750.0,7089.22971063927,6477.548021125936,154.82927647182154,17.761498746656557,0.0870410045983655,34038.532845,25.750011666666666,8615.856094608183
0.5,5.0,3750.0,7089.22971063927,6476.561622403158,155.07895437321824,24.181230877886392,0.08728893620584188,34029.289025499995,15.47910111111111,8613.516292862343
1.0,0.0,1700.0,7089.22971063927,5978.184949339269,281.2283896494454,6.044908915913755,0.15038418889061056,31676.861543333333,959.3823733333334,8018.068282466481
1.0,0.5,1950.0,7089.22971063927,5937.730805457047,291.4681694809372,6.690267426020031,0.16019807951513065,31310.962921333332,552.828348888889,7925.451779671752
1.0,1.0,2200.0,7089.22971063927,5913.1472823129725,297.69076722544975,7.390219120681956,0.16524172211904553,31122.917022999998,343.88846185185196,7877.853476695562
1.0,2.0,2700.0,7089.22971063927,5888.781817813342,303.85816982070986,8.885724552323614,0.1702393192981867,30936.587870666666,136.8560703703704,7830.689717609801
1.0,3.0,3200.0,7089.22971063927,5884.493684747047,304.9435849172408,10.493744280170556,0.17136669677299288,30894.55501333333,90.15289555555557,7820.050332778548
1.0,5.0,4200.0,7089.22971063927,5883.145031718158,305.2849568697682,13.757638250716958,0.17180474796171497,30878.22282333333,72.0060177777778,7815.916317972723
1.5,0.0,2150.0,7089.22971063927,5513.648768172602,398.8120970876101,5.391009991173094,0.20592364127243223,29606.14261333333,2171.7977083333335,7493.926528340267
1.5,0.5,2400.0,7089.22971063927,5455.591525415752,413.5075850253704,5.804004779870604,0.22006618622462149,29078.8555355,1585.9231774074074,7360.459272161927
1.5,1.0,2650.0,7089.22971063927,5411.169493669824,424.751719274513,6.238938842969886,0.22936556814181708,28732.139726333335,1200.6833894444446,7272.698335722377
1.5,2.0,3150.0,7089.22971063927,5347.731134397603,440.80927900707945,7.1459475787246545,0.24194848538969882,28263.001414333332,679.4185983333334,7153.949733863846
1.5,3.0,3650.0,7089.22971063927,5315.461081681676,448.97749623406503,8.129583399202593,0.2490485999301335,27998.282535166665,385.2865103703705,7086.943914934697
1.5,5.0,4650.0,7089.22971063927,5300.476662481677,452.7703623977264,10.270106849253766,0.253720884041744,27824.082273166663,191.73066370370373,7042.850228644821
2.0,0.0,2600.0,7089.22971063927,5084.919446905936,507.3323483097551,5.1248456926948265,0.25333065448961467,27838.631493333334,3687.4208533333335,7046.532936939436
2.0,0.5,2850.0,7089.22971063927,5016.347471920009,524.6893322694383,5.431785677198539,0.2701908875789687,27210.018816666667,2988.962323703704,6887.418077727693
2.0,1.0,3100.0,7089.22971063927,4959.051686185936,539.1920796986594,5.749342612251482,0.2826356097959183,26746.032933333332,2473.4224533333336,6769.973662043458
2.0,2.0,3600.0,7089.22971063927,4865.341658079269,562.9120243997228,6.39531550927334,0.30161602774354856,26038.371819333333,1687.1323266666668,6590.8500097480355
2.0,3.0,4100.0,7089.22971063927,4801.902459091121,578.9697966817436,7.081543844771141,0.314796703211607,25546.946840666664,1141.1045725925926,6466.460191985667
2.0,5.0,5100.0,7089.22971063927,4755.237809618528,590.7815838228645,8.632631990656543,0.32843702764354876,25038.384426,576.0352229629631,6337.73253501387
3.0,0.0,3500.0,7089.22971063927,4383.686939739269,684.8287873637311,5.110766463941089,0.3157783750192402,25510.346436666667,7925.404326666667,6457.195873358761
3.0,0.5,3750.0,7089.22971063927,4302.128987628158,705.4727904986518,5.3155841734865135,0.3359010400484319,24760.098070666667,7091.795031111111,6267.292507484975
3.0,1.0,4000.0,7089.22971063927,4227.222819848898,724.4330895551218,5.521558937149629,0.3527822860736717,24130.701953,6392.4660114814815,6107.979343165742
3.0,2.0,4500.0,7089.22971063927,4089.047011326306,759.4082421978029,5.925666525525918,0.38218429666250175,23034.484808333335,5174.446961851852,5830.504129709894
3.0,3.0,5000.0,7089.22971063927,3974.2982472937133,788.4535257428074,6.3415278602368685,0.406465163890521,22129.203080666666,4168.578375555556,5601.358616118817
3.0,5.0,6000.0,7089.22971063927,3851.883590062973,819.4392052776342,7.322080712463763,0.43982715430366104,20885.343047333332,2786.511671851852,5286.511936391586
